                                  column                                   match                                   label type csv grp show sort srch wdth
      "SECONDARY_ENTITY_BUSINESS_NAME_6"      "SECONDARY_ENTITY_BUSINESS_NAME_6"      "SECONDARY_ENTITY_BUSINESS_NAME_6"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_6"                   "WORKSITE_ADDRESS1_6"                   "WORKSITE_ADDRESS1_6"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_6"                   "WORKSITE_ADDRESS2_6"                   "WORKSITE_ADDRESS2_6"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_6"                       "WORKSITE_CITY_6"                       "WORKSITE_CITY_6"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_6"                     "WORKSITE_COUNTY_6"                     "WORKSITE_COUNTY_6"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_6"                      "WORKSITE_STATE_6"                      "WORKSITE_STATE_6"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_6"                "WORKSITE_POSTAL_CODE_6"                "WORKSITE_POSTAL_CODE_6"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_6"               "WAGE_RATE_OF_PAY_FROM_6"               "WAGE_RATE_OF_PAY_FROM_6"  num   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_6"                 "WAGE_RATE_OF_PAY_TO_6"                 "WAGE_RATE_OF_PAY_TO_6"  num   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_6"                    "WAGE_UNIT_OF_PAY_6"                    "WAGE_UNIT_OF_PAY_6"  chr   0   0    0    0    0    0
                     "PREVAILING_WAGE_6"                     "PREVAILING_WAGE_6"                     "PREVAILING_WAGE_6"  num   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_6"                      "PW_UNIT_OF_PAY_6"                      "PW_UNIT_OF_PAY_6"  chr   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_6"                  "PW_TRACKING_NUMBER_6"                  "PW_TRACKING_NUMBER_6"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_6"                       "PW_WAGE_LEVEL_6"                       "PW_WAGE_LEVEL_6"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_6"                         "PW_OES_YEAR_6"                         "PW_OES_YEAR_6"  num   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_6"                     "PW_OTHER_SOURCE_6"                     "PW_OTHER_SOURCE_6"  chr   0   0    0    0    0    0
